Date,Tournament,Round,Home Team,Away Team,Home Score,Away Score,Home Tries,Away Tries,Home Points,Away Points,Venue,Neutral,Home Rank,Away Rank,Home Elo,Away Elo
2011-10-02,WC,Pool B,ARG,GEO,25,7,3,1,4,0,"FMG Stadium, Palmerston North",1,7,14,1930,1860
2011-10-02,WC,Pool A,NZL,CAN,79,15,12,2,5,0,"Westpac Trust, Wellington",0,1,13,1990,1870
2011-10-02,WC,Pool D,WAL,FIJ,66,0,9,0,5,0,"Rugby Park, Hamilton",1,6,16,1940,1840
2011-10-02,WC,Pool C,IRE,ITA,36,6,3,0,4,0,"Otago Stadium, Dunedin",1,5,12,1950,1880
2011-10-08,WC,Quart,IRE,WAL,10,22,1,3,0,4,"Westpac Trust, Wellington",1,7,4,1930,1960
2011-10-08,WC,Quart,ENG,FRA,12,19,2,2,1,4,"Eden Park, Auckland",1,6,5,1940,1950
2011-10-09,WC,Quart,SAF,AUS,9,11,0,1,1,4,"Westpac Trust, Wellington",1,3,2,1970,1980
2011-10-09,WC,Quart,NZL,ARG,33,10,2,1,4,0,"Eden Park, Auckland",0,1,8,1990,1920
2011-10-15,WC,Semi,WAL,FRA,8,9,1,0,1,4,"Eden Park, Auckland",1,6,3,1940,1970
2011-10-16,WC,Semi,NZL,AUS,20,6,1,0,4,0,"Eden Park, Auckland",0,1,2,1990,1980
2011-10-21,WC,3&4,WAL,AUS,18,21,2,2,1,4,"Eden Park, Auckland",1,8,2,1920,1980
2011-10-23,WC,Final,NZL,FRA,8,7,1,1,4,1,"Eden Park, Auckland",0,1,3,1990,1970
2011-12-03,AI,,WAL,AUS,18,24,2,3,1,4,"Millennium Stadium, Cardiff",0,8,2,1920,1980
2012-02-04,6N,1,FRA,ITA,30,12,4,0,5,0,"Stade de France, Paris",0,3,12,1970,1880
